occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,97.50,55.00,18.75,76.25,61.95
Sales manager,Marketing manager,33.1,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,0.00,0.00,-2.50,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,0.00,0.00,-3.75,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,0.00,0.00,-1.25,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,0.00,0.00,-8.75,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,0.00,0.00,0.00,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,0.00,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,0.00,0.00,-6.25,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,0.00,0.00,-2.50,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,0.00,0.00,0.00,0.00,0.00
Management analyst,Financial manager,46.6,56.2,0.00,0.00,1.25,0.00,0.00
Sales manager,Financial manager,33.1,56.2,0.00,0.00,0.00,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,-12.50,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,0.00,0.00,-8.75,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,0.00,0.00,1.25,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,-3.75,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,0.00,0.00,0.00,0.00
