occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,5.00,0.00,-2.50,2.50,2.44
Project management specialist,Training and development specialist,47.3,56.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,0.00,0.00,0.00,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,15.00,5.00,-1.25,10.00,9.88
Financial and investment analyst,Operations research analyst,43.9,55.0,7.50,2.50,-1.25,5.00,4.94
Management analyst,Marketing manager,46.6,62.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,10.00,0.00,0.00,5.00,5.00
Management analyst,Marketing specialist,46.6,61.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,10.00,0.00,0.00,5.00,5.00
Sales manager,Marketing specialist,33.1,61.7,0.00,0.00,0.00,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,0.00,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,0.00,0.00,1.25,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,0.00,0.00,0.00,0.00,0.00
Management analyst,Financial manager,46.6,56.2,0.00,0.00,0.00,0.00,0.00
Sales manager,Financial manager,33.1,56.2,2.50,0.00,-1.25,1.25,1.23
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,2.50,1.25,1.25,1.23
Project management specialist,Human resources manager,47.3,76.5,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,2.50,0.00,0.00,1.25,1.25
Management analyst,Human resources manager,46.6,76.5,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,0.00,2.50,2.50,1.25,1.22
Financial and investment analyst,Financial manager,43.9,56.2,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,0.00,0.00,1.25,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,10.00,0.00,5.00,5.00,4.75
Training and development manager,Marketing specialist,48.0,61.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,0.00,5.00,5.00,2.50,2.38
Architectural and engineering manager,Human resources manager,12.8,76.5,0.00,0.00,1.25,0.00,0.00
Management analyst,Human resources worker,46.6,76.5,0.00,0.00,0.00,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,0.00,0.00,1.25,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,0.00,0.00,0.00,0.00,0.00
Sales manager,Human resources worker,33.1,76.5,17.50,0.00,1.25,8.75,8.64
Facilities manager,Marketing manager,23.4,62.4,0.00,2.50,1.25,1.25,1.23
Facilities manager,Administrative services manager,23.4,74.0,0.00,0.00,1.25,0.00,0.00
Sales manager,Administrative services manager,33.1,74.0,5.00,0.00,0.00,2.50,2.50
Management analyst,Administrative services manager,46.6,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,0.00,0.00,1.25,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,0.00,2.50,1.25,1.25,1.23
Financial and investment analyst,Training and development specialist,43.9,56.7,17.50,0.00,1.25,8.75,8.64
Facilities manager,Public relations manager,23.4,66.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Training and development specialist,33.1,56.7,7.50,0.00,1.25,3.75,3.70
Financial and investment analyst,Administrative services manager,43.9,74.0,2.50,0.00,0.00,1.25,1.25
Architectural and engineering manager,Financial manager,12.8,56.2,0.00,15.00,5.00,7.50,7.12
Purchasing manager,Marketing specialist,47.7,61.7,2.50,0.00,1.25,1.25,1.23
Training and development manager,Financial manager,48.0,56.2,0.00,0.00,0.00,0.00,0.00
Sales manager,Advertising sales agent,33.1,52.7,0.00,0.00,0.00,0.00,0.00
