occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing manager,33.1,62.4,100.00,100.00,0.00,100.00,100.00
Project management specialist,Training and development specialist,47.3,56.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing specialist,47.3,61.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing manager,47.3,62.4,100.00,100.00,0.00,100.00,100.00
Information security analyst,Operations research analyst,19.3,55.0,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,80.00,2.50,90.00,87.75
Management analyst,Marketing manager,46.6,62.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Public relations manager,33.1,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Marketing specialist,46.6,61.7,100.00,97.50,1.25,98.75,97.52
Sales manager,Human resources manager,33.1,76.5,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing specialist,33.1,61.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Marketing manager,48.0,62.4,100.00,100.00,0.00,100.00,100.00
Training and development manager,Administrative services manager,48.0,74.0,100.00,100.00,0.00,100.00,100.00
Project management specialist,Administrative services manager,47.3,74.0,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Financial manager,47.7,56.2,100.00,100.00,0.00,100.00,100.00
Management analyst,Financial manager,46.6,56.2,100.00,100.00,0.00,100.00,100.00
Sales manager,Financial manager,33.1,56.2,97.50,100.00,-1.25,98.75,97.52
Training and development manager,Human resources manager,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Public relations manager,47.3,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Operations research analyst,46.6,55.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Public relations manager,46.6,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources manager,47.7,76.5,100.00,100.00,0.00,100.00,100.00
Training and development manager,Public relations manager,48.0,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Marketing manager,47.7,62.4,100.00,100.00,0.00,100.00,100.00
Project management specialist,Human resources manager,47.3,76.5,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Public relations manager,47.7,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Human resources manager,46.6,76.5,100.00,97.50,0.00,98.75,98.75
Architectural and engineering manager,Marketing manager,12.8,62.4,100.00,97.50,0.00,98.75,98.75
Financial and investment analyst,Financial manager,43.9,56.2,100.00,97.50,0.00,98.75,98.75
Project management specialist,Human resources worker,47.3,76.5,100.00,100.00,0.00,100.00,100.00
Facilities manager,Human resources manager,23.4,76.5,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Marketing specialist,48.0,61.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Human resources manager,12.8,76.5,100.00,97.50,1.25,98.75,97.52
Management analyst,Human resources worker,46.6,76.5,100.00,85.00,8.75,92.50,84.41
Training and development manager,Human resources worker,48.0,76.5,100.00,95.00,1.25,97.50,96.28
Project management specialist,Operations research analyst,47.3,55.0,97.50,100.00,-1.25,98.75,97.52
Project management specialist,Financial manager,47.3,56.2,100.00,100.00,0.00,100.00,100.00
Sales manager,Human resources worker,33.1,76.5,100.00,100.00,0.00,100.00,100.00
Facilities manager,Marketing manager,23.4,62.4,100.00,100.00,0.00,100.00,100.00
Facilities manager,Administrative services manager,23.4,74.0,97.50,100.00,1.25,98.75,97.52
Sales manager,Administrative services manager,33.1,74.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Administrative services manager,46.6,74.0,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources worker,47.7,76.5,100.00,100.00,0.00,100.00,100.00
Management analyst,Training and development specialist,46.6,56.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Public relations manager,12.8,66.4,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,97.50,1.25,98.75,97.52
Facilities manager,Public relations manager,23.4,66.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Training and development specialist,33.1,56.7,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Administrative services manager,43.9,74.0,100.00,97.50,0.00,98.75,98.75
Architectural and engineering manager,Financial manager,12.8,56.2,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Marketing specialist,47.7,61.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Financial manager,48.0,56.2,100.00,100.00,0.00,100.00,100.00
Sales manager,Advertising sales agent,33.1,52.7,100.00,96.15,1.52,98.08,96.59
Management analyst,Accountant,46.6,57.0,100.00,97.50,0.00,98.75,98.75
Industrial production manager,Human resources manager,19.1,76.5,97.50,100.00,0.00,98.75,98.75
