occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,20.00,-8.75,60.00,54.75
Sales manager,Marketing manager,33.1,62.4,100.00,100.00,0.00,100.00,100.00
Project management specialist,Training and development specialist,47.3,56.7,100.00,97.50,1.25,98.75,97.52
Project management specialist,Marketing specialist,47.3,61.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing manager,47.3,62.4,100.00,100.00,1.25,100.00,98.75
Information security analyst,Operations research analyst,19.3,55.0,100.00,42.50,-25.00,71.25,53.44
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,100.00,-2.50,100.00,97.50
Management analyst,Marketing manager,46.6,62.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Public relations manager,33.1,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Marketing specialist,46.6,61.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Human resources manager,33.1,76.5,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing specialist,33.1,61.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Marketing manager,48.0,62.4,100.00,100.00,-2.50,100.00,97.50
Training and development manager,Administrative services manager,48.0,74.0,100.00,90.00,-7.50,95.00,87.88
Project management specialist,Administrative services manager,47.3,74.0,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Financial manager,47.7,56.2,100.00,100.00,1.25,100.00,98.75
Management analyst,Financial manager,46.6,56.2,97.50,100.00,1.25,98.75,97.52
Sales manager,Financial manager,33.1,56.2,100.00,100.00,0.00,100.00,100.00
Training and development manager,Human resources manager,48.0,76.5,100.00,77.50,-18.75,88.75,72.11
Project management specialist,Public relations manager,47.3,66.4,100.00,80.00,-10.00,90.00,81.00
Management analyst,Operations research analyst,46.6,55.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Public relations manager,46.6,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Human resources manager,47.7,76.5,100.00,100.00,2.50,100.00,97.50
Training and development manager,Public relations manager,48.0,66.4,100.00,85.00,-8.75,92.50,84.41
Purchasing manager,Marketing manager,47.7,62.4,100.00,100.00,0.00,100.00,100.00
Project management specialist,Human resources manager,47.3,76.5,100.00,92.50,-5.00,96.25,91.44
Purchasing manager,Public relations manager,47.7,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Human resources manager,46.6,76.5,95.00,100.00,2.50,97.50,95.06
Architectural and engineering manager,Marketing manager,12.8,62.4,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Financial manager,43.9,56.2,100.00,100.00,0.00,100.00,100.00
Project management specialist,Human resources worker,47.3,76.5,100.00,95.00,-5.00,97.50,92.62
Facilities manager,Human resources manager,23.4,76.5,100.00,100.00,-1.25,100.00,98.75
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,97.50,1.25,98.75,97.52
Training and development manager,Marketing specialist,48.0,61.7,100.00,92.50,-6.25,96.25,90.23
Architectural and engineering manager,Administrative services manager,12.8,74.0,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Human resources manager,12.8,76.5,100.00,100.00,-1.25,100.00,98.75
Management analyst,Human resources worker,46.6,76.5,100.00,100.00,0.00,100.00,100.00
Training and development manager,Human resources worker,48.0,76.5,100.00,0.00,0.00,50.00,50.00
Project management specialist,Operations research analyst,47.3,55.0,100.00,87.50,-20.00,93.75,75.00
Project management specialist,Financial manager,47.3,56.2,100.00,87.50,-11.25,93.75,83.20
Sales manager,Human resources worker,33.1,76.5,100.00,100.00,0.00,100.00,100.00
Facilities manager,Marketing manager,23.4,62.4,100.00,100.00,0.00,100.00,100.00
Facilities manager,Administrative services manager,23.4,74.0,100.00,97.50,0.00,98.75,98.75
Sales manager,Administrative services manager,33.1,74.0,100.00,100.00,0.00,100.00,100.00
Management analyst,Administrative services manager,46.6,74.0,97.50,100.00,1.25,98.75,97.52
Purchasing manager,Human resources worker,47.7,76.5,100.00,100.00,0.00,100.00,100.00
Management analyst,Training and development specialist,46.6,56.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Public relations manager,12.8,66.4,100.00,100.00,0.00,100.00,100.00
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,95.00,0.00,97.50,97.50
Facilities manager,Public relations manager,23.4,66.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Training and development specialist,33.1,56.7,70.00,97.50,36.25,83.75,53.39
Financial and investment analyst,Administrative services manager,43.9,74.0,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Financial manager,12.8,56.2,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Marketing specialist,47.7,61.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Financial manager,48.0,56.2,100.00,70.00,-30.00,85.00,59.50
Sales manager,Advertising sales agent,33.1,52.7,100.00,100.00,0.00,100.00,100.00
Management analyst,Accountant,46.6,57.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Human resources manager,19.1,76.5,100.00,100.00,1.25,100.00,98.75
Facilities manager,Social and community service manager,23.4,71.7,100.00,100.00,-1.25,100.00,98.75
Purchasing manager,Administrative services manager,47.7,74.0,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Financial manager,19.1,56.2,100.00,100.00,0.00,100.00,100.00
Operation manager,Financial manager,37.1,56.2,100.00,100.00,0.00,100.00,100.00
Industrial production manager,Human resources worker,19.1,76.5,100.00,100.00,0.00,100.00,100.00
Sales manager,Insurance sales agent,33.1,54.9,100.00,100.00,-1.61,100.00,98.39
Architectural and engineering manager,Marketing specialist,12.8,61.7,100.00,100.00,0.00,100.00,100.00
